,Iterations,Malus Class Random,Malus Class Capacity,Malus Student Gaphour,Malus Student Doublehour
0,1,1316,1324,1317,1318
1,2,1295,1313,1317,1317
2,3,1273,1320,1317,1316
3,4,1265,1263,1317,1316
4,5,1254,1279,1317,1316
5,6,1254,1262,1317,1316
6,7,1260,1298,1317,1316
7,8,1255,1257,1317,1316
8,9,1247,1264,1317,1318
9,10,1242,1243,1317,1316
10,11,1242,1234,1318,1319
11,12,1252,1235,1317,1316
12,13,1272,1234,1317,1316
13,14,1254,1247,1317,1316
14,15,1239,1201,1317,1316
15,16,1243,1224,1317,1316
16,17,1253,1199,1317,1316
17,18,1244,1195,1317,1316
18,19,1239,1198,1312,1316
19,20,1242,1238,1312,1316
20,21,1249,1207,1312,1315
21,22,1264,1211,1315,1315
22,23,1226,1205,1311,1316
23,24,1225,1187,1311,1314
24,25,1233,1179,1311,1316
25,26,1226,1176,1314,1314
26,27,1289,1194,1311,1315
27,28,1230,1176,1311,1314
28,29,1223,1356,1311,1314
29,30,1237,1112,1311,1314
30,31,1228,1105,1311,1314
31,32,1212,1108,1311,1314
32,33,1170,1114,1311,1314
33,34,1145,1126,1311,1314
34,35,1147,1166,1312,1314
35,36,1145,1114,1311,1314
36,37,1139,1108,1311,1314
37,38,1135,1116,1311,1314
38,39,1150,1105,1310,1314
39,40,1159,1039,1310,1314
40,41,1138,1070,1313,1314
41,42,1128,1045,1310,1314
42,43,1136,1018,1308,1314
43,44,1128,1034,1308,1314
44,45,1129,1059,1308,1313
45,46,1115,1021,1308,1313
46,47,1107,1025,1308,1313
47,48,1105,1022,1309,1312
48,49,1086,1008,1308,1312
49,50,1109,1008,1308,1312
50,51,1038,995,1011,1003
51,52,1055,986,1008,1003
52,53,1008,1073,1008,1003
53,54,989,1022,1008,1003
54,55,1063,989,1005,1003
55,56,1005,1004,1005,1003
56,57,997,989,1005,1003
57,58,992,987,1005,1004
58,59,1000,986,1003,1003
59,60,995,999,1004,1004
60,61,986,988,1003,1003
61,62,1009,992,1003,1003
62,63,1007,985,1003,1003
63,64,977,978,1003,1003
64,65,979,995,1003,1002
65,66,974,980,1006,1004
66,67,972,938,1003,1002
67,68,975,938,1003,1002
68,69,967,945,1003,1002
69,70,980,979,1004,1002
70,71,962,959,1003,1002
71,72,974,936,1003,1002
72,73,962,1002,1003,1002
73,74,995,941,1003,1002
74,75,958,951,1003,1002
75,76,958,939,1003,1002
76,77,976,939,1003,1002
77,78,972,950,1003,1002
78,79,990,934,1003,1002
79,80,958,938,1003,1002
80,81,999,939,1003,1002
81,82,940,889,1003,1002
82,83,1003,886,1003,1004
83,84,974,862,1002,1003
84,85,937,872,1002,1002
85,86,942,875,1002,1002
86,87,943,860,1000,1001
87,88,944,877,1000,1001
88,89,941,913,999,1001
89,90,931,878,1000,1001
90,91,943,867,999,1002
91,92,944,858,999,1001
92,93,933,864,999,1001
93,94,933,859,1000,1001
94,95,967,866,1001,1001
95,96,897,858,999,1001
96,97,920,847,1002,1001
97,98,911,876,999,999
98,99,910,817,999,999
99,100,924,813,999,999
100,101,847,815,813,813
101,102,817,816,813,813
102,103,813,817,816,813
103,104,780,825,814,816
104,105,837,812,813,813
105,106,750,859,813,813
106,107,752,814,813,814
107,108,753,808,814,813
108,109,770,808,813,817
109,110,768,812,813,813
110,111,793,838,813,813
111,112,799,825,814,813
112,113,745,809,813,813
113,114,740,819,813,812
114,115,762,800,814,812
115,116,766,801,813,812
116,117,761,814,813,812
117,118,746,805,813,812
118,119,743,810,813,812
119,120,734,781,813,812
120,121,750,785,813,810
121,122,736,793,813,812
122,123,739,798,813,810
123,124,749,782,813,810
124,125,740,789,816,810
125,126,754,781,813,810
126,127,761,779,813,809
127,128,739,780,814,814
128,129,755,784,813,811
129,130,740,777,815,805
130,131,744,826,811,805
131,132,752,789,811,805
132,133,770,773,811,805
133,134,748,773,810,805
134,135,730,766,810,805
135,136,758,775,807,805
136,137,726,751,807,805
137,138,731,752,807,805
138,139,730,746,807,805
139,140,737,748,807,805
140,141,733,758,807,805
141,142,730,769,808,805
142,143,744,740,803,805
143,144,781,742,803,806
144,145,731,781,804,805
145,146,744,780,803,803
146,147,708,740,803,803
147,148,719,747,804,803
148,149,712,758,803,803
149,150,709,740,803,803
150,151,717,715,708,708
151,152,688,718,708,708
152,153,707,713,708,711
153,154,726,756,710,708
154,155,692,741,708,708
155,156,691,746,708,708
156,157,711,706,708,708
157,158,726,705,708,708
158,159,689,724,708,709
159,160,694,811,708,708
160,161,738,736,711,708
161,162,675,708,709,707
162,163,698,692,705,707
163,164,694,689,705,708
164,165,684,683,705,707
165,166,692,726,706,707
166,167,675,721,705,708
167,168,736,681,705,707
168,169,678,686,705,707
169,170,675,690,705,707
170,171,688,709,705,707
171,172,653,703,705,707
172,173,636,698,705,707
173,174,698,698,705,707
174,175,639,728,705,707
175,176,643,683,705,707
176,177,635,691,705,707
177,178,632,704,705,708
178,179,639,693,705,707
179,180,640,701,709,707
180,181,680,674,705,708
181,182,638,673,705,707
182,183,627,726,705,706
183,184,648,724,705,709
184,185,637,662,705,706
185,186,620,666,703,709
186,187,623,687,703,706
187,188,640,684,703,708
188,189,626,696,703,705
189,190,652,675,706,705
190,191,680,790,703,705
191,192,622,663,702,705
192,193,618,674,703,705
193,194,640,734,703,705
194,195,619,664,702,705
195,196,621,695,702,705
196,197,616,666,702,703
197,198,638,668,702,703
198,199,646,657,702,707
199,200,609,694,702,704
200,201,638,597,609,609
201,202,615,612,609,609
202,203,673,597,609,609
203,204,609,624,609,612
204,205,641,649,615,609
205,206,627,607,609,609
206,207,613,591,608,609
207,208,627,598,608,609
208,209,624,591,608,609
209,210,617,603,608,609
210,211,604,600,608,609
211,212,625,588,610,607
212,213,636,607,608,607
213,214,599,592,608,606
214,215,626,632,608,606
215,216,607,605,608,606
216,217,607,611,608,606
217,218,602,605,608,606
218,219,597,615,608,607
219,220,604,632,607,607
220,221,602,587,607,606
221,222,603,613,607,606
222,223,588,602,607,607
223,224,626,600,607,607
224,225,627,599,607,606
225,226,611,598,607,606
226,227,616,632,607,607
227,228,599,588,607,606
228,229,642,612,607,606
229,230,599,599,606,606
230,231,589,614,606,606
231,232,587,589,605,607
232,233,599,628,606,609
233,234,597,596,606,606
234,235,600,650,605,604
235,236,582,610,605,604
236,237,576,620,605,604
237,238,587,587,605,604
238,239,581,592,606,604
239,240,578,591,605,604
240,241,580,625,605,604
241,242,573,588,605,605
242,243,579,622,605,604
243,244,576,597,605,604
244,245,570,601,607,604
245,246,571,592,605,604
246,247,565,591,605,604
247,248,597,595,605,605
248,249,576,586,605,604
249,250,578,616,607,604
250,251,570,569,565,565
251,252,555,565,565,564
252,253,557,594,565,564
253,254,573,615,565,563
254,255,620,562,565,563
255,256,556,574,565,563
256,257,582,571,564,564
257,258,578,568,564,563
258,259,556,586,564,564
259,260,550,584,564,563
260,261,557,580,564,563
261,262,566,568,564,563
262,263,556,566,564,562
263,264,552,562,563,562
264,265,554,549,563,562
265,266,561,546,560,562
266,267,560,553,562,562
267,268,569,537,560,562
268,269,584,567,560,562
269,270,551,537,559,562
270,271,559,540,559,562
271,272,552,540,559,563
272,273,553,556,562,562
273,274,579,581,559,562
274,275,565,536,559,562
275,276,553,551,559,562
276,277,554,541,559,562
277,278,557,544,559,563
278,279,593,579,555,562
279,280,558,523,555,562
280,281,619,541,555,562
281,282,559,519,553,562
282,283,653,518,554,563
283,284,562,525,553,562
284,285,547,528,553,563
285,286,555,527,556,561
286,287,554,518,553,561
287,288,561,552,553,561
288,289,566,608,553,561
289,290,556,526,553,561
290,291,557,528,553,561
291,292,557,537,553,561
292,293,540,605,553,563
293,294,540,523,553,561
294,295,534,520,553,561
295,296,547,536,553,561
296,297,578,532,553,561
297,298,537,530,553,561
