,Iteration,Total Malus,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour
0,0,1202,0,0,0,0
1,1,974,228,151,12,15
2,2,832,108,142,11,15
3,3,729,103,73,9,1
4,4,670,59,26,7,2
5,5,590,80,57,6,16
6,6,567,23,6,8,7
7,7,542,25,7,6,6
8,8,520,20,22,7,9
9,9,493,27,22,4,7
10,10,480,5,13,5,5
11,11,467,13,8,7,0
12,12,427,40,13,8,12
13,13,404,23,6,5,4
14,14,385,0,19,4,3
15,15,373,12,4,5,8
16,16,362,11,5,1,3
17,17,350,12,6,4,8
18,18,323,27,12,7,3
19,19,307,16,14,4,3
20,20,301,2,6,5,2
21,21,292,9,2,2,1
22,22,277,6,15,2,6
23,23,273,3,4,2,4
24,24,267,3,0,0,6
25,25,265,0,0,2,2
26,26,259,3,6,2,6
27,27,255,1,1,4,0
28,28,251,1,3,4,3
29,29,245,0,6,1,2
30,30,239,1,0,4,6
31,31,238,0,0,1,0
32,32,236,2,0,2,0
33,33,234,1,0,2,2
34,34,230,3,3,3,4
35,35,227,0,0,3,3
36,36,227,0,0,0,0
37,37,224,1,2,3,1
38,38,222,2,0,1,0
39,39,221,1,1,1,1
40,40,219,0,1,1,2
41,41,216,0,3,1,1
42,42,215,0,0,1,0
43,43,212,0,3,1,2
44,44,209,3,0,2,0
45,45,208,0,0,1,0
46,46,207,0,0,0,1
47,47,206,0,0,1,0
48,48,202,0,4,2,1
49,49,200,1,1,2,0
50,50,199,1,0,0,1
51,51,197,0,2,0,1
52,52,195,0,2,1,0
53,53,194,1,0,1,0
54,54,191,3,0,0,0
55,55,191,0,0,0,0
56,56,191,0,0,0,0
57,57,190,1,0,0,0
58,58,190,0,0,0,0
59,59,189,0,0,1,1
60,60,187,0,1,2,0
61,61,186,1,1,0,1
62,62,185,0,0,1,0
63,63,182,3,1,1,0
64,64,182,0,0,0,0
65,65,170,0,12,0,0
66,66,169,0,0,0,1
67,67,168,0,0,1,0
68,68,168,0,0,0,0
69,69,167,0,0,0,1
70,70,166,0,0,1,0
71,71,166,0,0,0,0
72,72,166,0,0,0,0
73,73,165,0,0,0,1
74,74,165,0,0,0,0
75,75,165,0,0,0,0
76,76,165,0,0,0,0
77,77,164,0,0,1,1
78,78,164,0,0,0,0
79,79,162,1,2,0,0
80,80,162,0,0,0,0
81,81,161,0,0,0,1
82,82,160,1,0,0,0
83,83,159,0,1,1,0
84,84,159,0,0,0,0
85,85,157,0,2,1,0
86,86,156,0,1,0,0
87,87,156,0,0,0,0
88,88,146,10,5,1,0
89,89,142,4,0,0,1
90,90,139,0,3,0,0
91,91,139,0,0,0,0
92,92,138,0,1,0,0
93,93,137,0,0,0,1
94,94,136,1,1,1,0
95,95,135,0,0,1,0
96,96,135,0,0,0,0
97,97,134,0,0,1,0
98,98,131,0,0,0,3
99,99,130,1,1,0,0
100,100,130,0,0,0,0
101,101,129,0,0,1,0
102,102,129,0,0,0,0
103,103,129,0,0,0,0
104,104,129,0,0,0,0
105,105,127,0,2,0,0
106,106,126,0,0,0,1
107,107,126,0,0,0,0
108,108,126,0,0,0,0
109,109,124,0,2,0,0
110,110,123,0,0,0,1
111,111,122,0,0,0,1
112,112,121,0,1,1,1
113,113,121,0,0,0,0
114,114,121,0,0,0,0
115,115,121,0,0,0,0
116,116,121,0,0,0,0
117,117,121,0,0,0,0
118,118,121,0,0,0,0
119,119,120,0,0,1,0
120,120,119,0,0,0,1
121,121,119,0,0,0,0
122,122,118,0,0,1,0
123,123,117,0,0,0,1
124,124,117,0,0,0,0
125,125,117,0,0,0,0
126,126,117,0,0,0,0
127,127,117,0,0,0,0
128,128,117,0,0,0,0
129,129,117,0,0,0,0
130,130,117,0,0,0,0
131,131,116,0,0,0,1
132,132,112,0,4,0,0
133,133,111,0,0,1,0
134,134,111,0,0,0,0
135,135,111,0,0,0,0
136,136,111,0,0,0,0
137,137,111,0,0,0,0
138,138,110,0,0,1,0
139,139,110,0,0,0,0
140,140,110,0,0,0,0
141,141,110,0,0,0,0
142,142,110,0,0,0,0
143,143,110,0,0,0,0
144,144,110,0,0,0,0
145,145,110,0,0,0,0
146,146,109,0,0,1,0
147,147,109,0,0,0,0
148,148,109,0,0,0,0
149,149,108,0,0,0,1
150,150,108,0,0,0,0
151,151,107,0,0,0,1
152,152,107,0,0,0,0
153,153,107,0,0,0,0
154,154,107,0,0,0,0
155,155,107,0,0,0,0
156,156,107,0,0,0,0
157,157,107,0,0,0,0
158,158,107,0,0,0,0
159,159,106,0,1,0,0
160,160,106,0,0,0,0
161,161,106,0,0,0,0
162,162,106,0,0,0,0
163,163,106,0,0,0,0
164,164,106,0,0,0,0
165,165,106,0,0,0,0
166,166,106,0,0,0,0
167,167,106,0,0,0,0
168,168,106,0,0,0,0
169,169,106,0,0,0,0
170,170,106,0,0,0,0
171,171,106,0,0,0,0
172,172,106,0,0,0,0
173,173,106,0,0,0,0
174,174,106,0,0,0,0
175,175,106,0,0,0,0
176,176,106,0,0,0,0
177,177,106,0,0,0,0
178,178,106,0,0,0,0
179,179,106,0,0,0,0
180,180,106,0,0,0,0
181,181,106,0,0,0,0
182,182,106,0,0,0,0
183,183,106,0,0,0,0
184,184,106,0,0,0,0
185,185,105,0,1,0,0
186,186,105,0,0,0,0
187,187,105,0,0,0,0
188,188,102,3,0,0,0
189,189,102,0,0,0,0
190,190,101,0,0,1,1
191,191,101,0,0,0,0
192,192,101,0,0,0,0
193,193,101,0,0,0,0
194,194,101,0,0,0,0
195,195,101,0,0,0,0
196,196,101,0,0,0,0
197,197,100,0,0,0,1
198,198,100,0,0,0,0
199,199,100,0,0,0,0
200,200,100,0,0,0,0
201,201,100,0,0,0,0
202,202,100,0,0,0,0
203,203,100,0,0,0,0
204,204,100,0,0,0,0
205,205,100,0,0,0,0
206,206,100,0,0,0,0
207,207,100,0,0,0,0
208,208,100,0,0,0,0
209,209,99,0,0,1,0
210,210,99,0,0,0,0
211,211,99,0,0,0,0
212,212,99,0,0,0,0
213,213,99,0,0,0,0
214,214,99,0,0,0,0
215,215,99,0,0,0,0
216,216,99,0,0,0,0
217,217,99,0,0,0,0
218,218,99,0,0,0,0
219,219,99,0,0,0,0
220,220,99,0,0,0,0
221,221,99,0,0,0,0
222,222,99,0,0,0,0
223,223,99,0,0,0,0
224,224,98,0,0,1,0
225,225,97,1,0,0,0
226,226,97,0,0,0,0
227,227,97,0,0,0,0
228,228,97,0,0,0,0
229,229,97,0,0,0,0
230,230,97,0,0,0,0
231,231,97,0,0,0,0
232,232,97,0,0,0,0
233,233,97,0,0,0,0
234,234,97,0,0,0,0
235,235,97,0,0,0,0
236,236,97,0,0,0,0
237,237,97,0,0,0,0
238,238,97,0,0,0,0
239,239,97,0,0,0,0
240,240,97,0,0,0,0
241,241,97,0,0,0,0
242,242,97,0,0,0,0
243,243,97,0,0,0,0
244,244,97,0,0,0,0
245,245,97,0,0,0,0
246,246,96,0,0,0,1
247,247,96,0,0,0,0
248,248,96,0,0,0,0
249,249,96,0,0,0,0
250,250,96,0,0,0,0
251,251,96,0,0,0,0
252,252,96,0,0,0,0
253,253,96,0,0,0,0
254,254,96,0,0,0,0
255,255,96,0,0,0,0
256,256,95,0,0,0,1
257,257,95,0,0,0,0
258,258,95,0,0,0,0
259,259,95,0,0,0,0
260,260,95,0,0,0,0
261,261,95,0,0,0,0
262,262,95,0,0,0,0
263,263,95,0,0,0,0
264,264,95,0,0,0,0
265,265,95,0,0,0,0
266,266,95,0,0,0,0
267,267,95,0,0,0,0
268,268,95,0,0,0,0
269,269,95,0,0,0,0
270,270,95,0,0,0,0
271,271,95,0,0,0,0
272,272,95,0,0,0,0
273,273,95,0,0,0,0
274,274,95,0,0,0,0
275,275,95,0,0,0,0
276,276,95,0,0,0,0
277,277,95,0,0,0,0
278,278,94,0,0,1,0
279,279,94,0,0,0,0
280,280,94,0,0,0,0
281,281,94,0,0,0,0
282,282,94,0,0,0,0
283,283,94,0,0,0,0
284,284,94,0,0,0,0
285,285,94,0,0,0,0
286,286,94,0,0,0,0
287,287,94,0,0,0,0
288,288,94,0,0,0,0
289,289,94,0,0,0,0
290,290,94,0,0,0,0
291,291,94,0,0,0,0
292,292,94,0,0,0,0
293,293,94,0,0,0,0
294,294,94,0,0,0,0
295,295,94,0,0,0,0
296,296,94,0,0,0,0
297,297,94,0,0,0,0
298,298,94,0,0,0,0
299,299,94,0,0,0,0
300,300,94,0,0,0,0
301,301,94,0,0,0,0
302,302,94,0,0,0,0
303,303,94,0,0,0,0
304,304,94,0,0,0,0
305,305,94,0,0,0,0
306,306,94,0,0,0,0
307,307,94,0,0,0,0
308,308,94,0,0,0,0
