Hill Climber,Cost,Iteration,Duration
TimeSlotSwapRandom,426,1,20.57
TimeSlotSwapRandom,350,1,20.57
SwapBadTimeslots_GapHour,1272,1,20.57
SwapBadTimeslots_GapHour,1273,1,20.57
TimeSlotSwapRandom,253,2,43.65
TimeSlotSwapRandom,247,2,43.65
SwapBadTimeslots_GapHour,334,2,43.65
SwapBadTimeslots_GapHour,337,2,43.65
TimeSlotSwapRandom,222,3,62.54
TimeSlotSwapRandom,210,3,62.54
SwapBadTimeslots_GapHour,238,3,62.54
SwapBadTimeslots_GapHour,237,3,62.54
TimeSlotSwapRandom,429,1,17.48
TimeSlotSwapRandom,403,1,17.48
SwapBadTimeslots_GapHour,1231,1,17.48
SwapBadTimeslots_GapHour,1244,1,17.48
TimeSlotSwapRandom,344,2,34.78
TimeSlotSwapRandom,281,2,34.78
SwapBadTimeslots_GapHour,398,2,34.78
SwapBadTimeslots_GapHour,396,2,34.78
TimeSlotSwapRandom,232,3,51.53
TimeSlotSwapRandom,255,3,51.53
SwapBadTimeslots_GapHour,278,3,51.53
SwapBadTimeslots_GapHour,280,3,51.53
TimeSlotSwapRandom,437,1,18.95
TimeSlotSwapRandom,483,1,18.95
SwapBadTimeslots_GapHour,1385,1,18.95
SwapBadTimeslots_GapHour,1387,1,18.95
TimeSlotSwapRandom,335,2,36.98
TimeSlotSwapRandom,302,2,36.98
SwapBadTimeslots_GapHour,416,2,36.98
SwapBadTimeslots_GapHour,420,2,36.98
TimeSlotSwapRandom,249,3,54.48
TimeSlotSwapRandom,233,3,54.48
SwapBadTimeslots_GapHour,299,3,54.48
SwapBadTimeslots_GapHour,298,3,54.48
TimeSlotSwapRandom,451,1,20.16
TimeSlotSwapRandom,342,1,20.16
SwapBadTimeslots_GapHour,1372,1,20.16
SwapBadTimeslots_GapHour,1373,1,20.16
TimeSlotSwapRandom,253,2,38.2
TimeSlotSwapRandom,243,2,38.2
SwapBadTimeslots_GapHour,328,2,38.2
SwapBadTimeslots_GapHour,327,2,38.2
TimeSlotSwapRandom,215,3,60.34
TimeSlotSwapRandom,206,3,60.34
SwapBadTimeslots_GapHour,228,3,60.34
SwapBadTimeslots_GapHour,232,3,60.34
TimeSlotSwapRandom,374,1,20.27
TimeSlotSwapRandom,454,1,20.27
SwapBadTimeslots_GapHour,1237,1,20.27
SwapBadTimeslots_GapHour,1235,1,20.27
TimeSlotSwapRandom,264,2,38.11
TimeSlotSwapRandom,255,2,38.11
SwapBadTimeslots_GapHour,365,2,38.11
SwapBadTimeslots_GapHour,366,2,38.11
TimeSlotSwapRandom,213,3,56.61
TimeSlotSwapRandom,216,3,56.61
SwapBadTimeslots_GapHour,246,3,56.61
SwapBadTimeslots_GapHour,246,3,56.61
TimeSlotSwapRandom,430,1,17.17
TimeSlotSwapRandom,373,1,17.17
SwapBadTimeslots_GapHour,1339,1,17.17
SwapBadTimeslots_GapHour,1339,1,17.17
TimeSlotSwapRandom,298,2,5918.99
TimeSlotSwapRandom,297,2,5918.99
SwapBadTimeslots_GapHour,370,2,5918.99
SwapBadTimeslots_GapHour,370,2,5918.99
TimeSlotSwapRandom,471,1,27096.97
TimeSlotSwapRandom,410,1,27096.97
SwapBadTimeslots_GapHour,1465,1,27096.97
SwapBadTimeslots_GapHour,1468,1,27096.97
