Schedule Index,Duration,Cost
0,1.9073486328125e-06,156
0,36.630733013153076,147
1,36.6307430267334,149
2,36.630743741989136,150
3,36.630743741989136,149
0,72.59215378761292,141
1,72.59216094017029,143
2,72.5921618938446,141
3,72.59216284751892,142
0,108.44809985160828,139
1,108.4481029510498,137
2,108.44810390472412,138
3,108.44810485839844,133
0,144.22968173027039,133
1,144.2296860218048,133
2,144.22968697547913,133
3,144.22968697547913,131
0,180.00849270820618,129
1,180.0084958076477,130
2,180.00849676132202,126
3,180.00849795341492,131
0,215.6133258342743,126
1,215.61332988739014,126
2,215.61332988739014,126
3,215.61333084106445,125
0,251.23712277412415,125
1,251.2371277809143,124
2,251.23713207244873,125
3,251.23713302612305,125
0,287.64826583862305,123
1,287.6482717990875,123
2,287.64827275276184,124
3,287.64827394485474,123
0,324.3322639465332,122
1,324.3322696685791,121
2,324.332270860672,121
3,324.33227276802063,123
0,360.89924478530884,119
1,360.8992488384247,121
2,360.8992509841919,119
3,360.8992519378662,120
0,396.7017526626587,119
1,396.7017569541931,119
2,396.7017569541931,119
3,396.70175790786743,118
0,432.75387597084045,118
1,432.7538797855377,116
2,432.75388073921204,117
3,432.75388169288635,118
0,468.6376450061798,116
1,468.6376488208771,116
2,468.6376497745514,115
3,468.6376497745514,116
0,504.38290190696716,115
1,504.38290786743164,115
2,504.38290882110596,115
3,504.3829097747803,114
0,540.0887248516083,113
1,540.0887348651886,112
2,540.0887358188629,111
3,540.0887370109558,112
0,575.8345558643341,111
1,575.8345620632172,110
2,575.8345627784729,110
3,575.8345637321472,109
0,612.0035319328308,109
1,612.0035357475281,109
2,612.003536939621,108
3,612.003536939621,109
0,647.9407386779785,109
1,647.9407427310944,108
2,647.9407439231873,108
3,647.9407448768616,108
0,683.3158638477325,107
1,683.3158679008484,108
2,683.3158688545227,107
3,683.315869808197,106
0,719.9142127037048,105
1,719.9142169952393,106
2,719.9142179489136,106
3,719.9142189025879,105
0,756.3281207084656,103
1,756.3281259536743,105
2,756.3281269073486,105
3,756.328127861023,105
0,792.3265879154205,103
1,792.3265919685364,102
2,792.3265929222107,102
3,792.3265998363495,102
0,828.2022359371185,101
1,828.2022409439087,101
2,828.202241897583,101
3,828.2022428512573,101
0,863.8932979106903,99
1,863.8933019638062,100
2,863.8933019638062,100
3,863.8933029174805,100
0,900.0911498069763,98
1,900.0911560058594,93
2,900.0911569595337,98
3,900.0911588668823,98
