,List Iterations,Duration since innit,Total Malus,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour
0,0,0.0,1116,0,0,0,0
1,1,7.24,823,266,293,10,26
2,2,14.32,694,65,129,7,6
3,3,20.47,645,33,49,6,7
4,4,26.6,610,35,26,2,3
5,5,32.62,590,20,11,2,3
6,6,38.45,579,11,4,8,3
7,7,44.34,535,27,44,4,1
8,8,50.3,514,21,7,5,4
9,9,56.7,460,19,54,4,1
10,10,63.55,455,4,5,1,3
11,11,69.58,443,12,5,5,0
12,12,75.57,390,53,33,4,2
13,13,81.04,382,3,8,4,5
14,14,86.47,372,10,7,4,8
15,15,91.76,368,1,1,4,1
16,16,97.13,365,3,3,1,3
17,17,102.53,362,3,0,0,3
18,18,107.57,355,0,6,7,1
19,19,112.58,355,0,0,0,0
20,20,117.56,350,5,0,3,0
21,21,122.57,346,0,1,2,4
22,22,127.6,343,3,0,3,0
23,23,133.23,340,1,1,2,3
24,24,139.24,326,14,3,0,1
25,25,144.17,325,0,1,0,1
26,26,149.22,323,2,0,1,1
27,27,154.22,316,1,7,1,0
28,28,159.16,316,0,0,0,0
29,29,164.09,271,1,45,1,1
30,30,168.99,271,0,0,0,0
31,31,173.87,268,0,0,1,3
32,32,178.76,268,0,0,0,0
33,33,183.56,267,0,0,1,1
34,34,188.44,265,0,1,2,0
35,35,194.18,264,0,0,1,0
36,36,201.01,260,3,2,4,0
37,37,208.03,259,0,0,0,1
38,38,214.39,258,0,0,1,0
39,39,220.61,256,0,2,0,0
40,40,225.66,256,0,0,0,0
41,41,230.53,256,0,0,0,0
42,42,235.32,255,0,0,1,0
43,43,240.25,255,0,0,0,0
44,44,246.46,252,3,0,0,0
45,45,251.86,249,0,3,3,2
46,46,257.32,246,0,0,3,0
47,47,263.63,244,0,0,1,2
48,48,269.9,240,4,0,0,0
49,49,275.38,240,0,0,0,0
50,50,280.74,239,0,0,1,0
51,51,286.07,239,0,0,0,0
52,52,291.44,238,1,0,1,1
53,53,296.72,237,0,0,1,0
54,54,301.71,237,0,0,0,0
55,55,306.44,233,4,0,0,0
56,56,311.39,214,19,0,0,0
57,57,316.9,211,2,3,0,0
58,58,321.82,208,0,0,3,0
59,59,327.78,208,0,0,0,0
60,60,333.42,207,0,0,1,1
61,61,338.72,204,3,0,0,1
62,62,343.79,201,0,3,0,1
63,63,348.5,201,0,0,0,0
64,64,353.21,201,0,0,0,0
65,65,357.97,196,0,5,1,1
66,66,362.63,196,0,0,0,0
67,67,367.3,195,0,0,1,1
68,68,372.1,193,0,2,1,0
69,69,376.81,192,0,0,0,1
70,70,381.5,191,0,0,0,1
71,71,386.21,191,0,0,0,0
72,72,390.93,190,0,1,0,0
73,73,395.89,190,0,0,0,0
74,74,400.67,190,0,0,0,0
75,75,405.79,190,0,0,0,0
76,76,410.51,190,0,0,0,0
77,77,415.22,187,0,1,3,0
78,78,420.25,186,0,0,0,1
79,79,425.57,186,0,0,0,0
80,80,430.24,185,0,0,1,0
81,81,435.01,185,0,0,0,0
82,82,442.33,185,0,0,0,0
83,83,447.66,183,2,0,0,0
84,84,452.85,182,0,0,1,0
85,85,457.87,182,0,0,0,0
86,86,465.71,181,0,1,0,0
87,87,472.49,180,1,0,1,0
