Iteration,list_iterations,Iteration,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour,list_duration_since_innit
0,0,1326,0,0,0,0,0
0,1,142,1180,1132,1147,1184,110.13
0,2,136,2,0,6,4,125.29
0,3,126,0,0,10,7,140.46
0,4,125,1,0,0,0,154.45
0,5,125,0,0,0,0,168.43
0,6,124,0,0,0,1,181.83
0,7,118,1,3,1,6,195.45
0,8,117,1,1,0,1,208.72
0,9,108,9,1,1,2,223.67
0,10,106,0,0,1,2,238.52
0,11,105,1,0,0,0,254.09
0,12,103,2,1,1,1,268.95
0,13,101,0,1,2,1,282.11
0,14,100,0,0,1,1,294.89
0,15,98,0,0,0,2,307.66
0,16,97,1,1,0,0,320.6
0,17,96,1,0,0,0,333.3
0,18,95,0,1,0,1,345.75
0,19,93,1,0,0,2,358.08
0,20,92,0,0,0,1,370.06
0,21,92,0,0,0,0,382.32
0,22,92,0,0,0,0,394.26
0,23,91,0,0,0,1,406.1
0,24,90,1,0,0,0,418.01
0,25,89,0,1,0,0,429.91
0,26,89,0,0,0,0,441.76
0,27,89,0,0,0,0,454.25
0,28,88,0,1,0,1,466.97
0,29,88,0,0,0,0,479.05
0,30,87,0,0,0,1,491.56
0,31,85,2,0,0,0,504.0
0,32,84,1,0,0,0,516.51
0,33,84,0,0,0,0,529.5
0,34,83,0,0,0,1,542.1
0,35,83,0,0,0,0,554.3
0,36,83,0,0,0,0,566.74
0,37,83,0,0,0,0,578.35
0,38,83,0,0,0,0,590.73
0,39,83,0,0,0,0,602.35
0,40,83,0,0,0,0,614.01
0,41,82,1,0,0,0,626.89
0,42,81,0,0,0,1,639.23
0,43,81,0,0,0,0,651.49
0,44,81,0,0,0,0,663.19
0,45,80,0,0,0,1,675.11
0,46,80,0,0,0,0,687.57
0,47,80,0,0,0,0,699.76
0,48,80,0,0,0,0,712.01
0,49,79,0,0,0,1,723.69
0,50,79,0,0,0,0,734.94
0,51,79,0,0,0,0,746.32
0,52,79,0,0,0,0,757.22
0,53,79,0,0,0,0,768.12
0,54,79,0,0,0,0,779.04
0,55,79,0,0,0,0,790.11
0,56,79,0,0,0,0,800.99
0,57,79,0,0,0,0,811.89
0,58,79,0,0,0,0,822.8
0,59,79,0,0,0,0,833.72
0,60,79,0,0,0,0,844.86
0,61,79,0,0,0,0,856.92
0,62,79,0,0,0,0,869.41
