Iteration,list_iterations,Iteration,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour,list_duration_since_innit
0,0,1374,0,0,0,0,0
0,1,161,1212,1213,1203,1211,102.25
0,2,141,20,13,15,18,117.85
0,3,122,19,4,17,3,132.0
0,4,113,9,7,4,5,144.94
0,5,108,1,5,4,5,157.37
0,6,101,3,1,7,4,169.36
0,7,95,2,3,0,6,180.73
0,8,91,4,2,0,1,191.59
0,9,88,0,0,0,3,202.04
0,10,85,3,0,1,3,212.39
0,11,84,0,1,0,1,222.61
0,12,79,0,1,0,5,232.67
0,13,77,0,1,1,2,242.44
0,14,76,0,1,0,0,252.07
0,15,76,0,0,0,0,262.46
0,16,75,0,0,0,1,272.69
0,17,75,0,0,0,0,283.02
0,18,75,0,0,0,0,293.11
0,19,75,0,0,0,0,303.32
0,20,75,0,0,0,0,312.79
0,21,75,0,0,0,0,322.22
0,22,75,0,0,0,0,331.67
0,23,75,0,0,0,0,341.11
0,24,75,0,0,0,0,350.49
0,25,74,0,0,0,1,359.92
0,26,74,0,0,0,0,369.29
0,27,73,1,0,0,0,378.75
0,28,72,1,0,0,0,388.05
0,29,71,1,0,0,0,397.27
0,30,71,0,0,0,0,406.38
0,31,71,0,0,0,0,415.66
0,32,71,0,0,0,0,424.9
0,33,71,0,0,0,0,434.28
0,34,70,0,0,0,1,443.82
0,35,70,0,0,0,0,453.58
0,36,70,0,0,0,0,463.69
0,37,70,0,0,0,0,472.88
0,38,70,0,0,0,0,482.0
0,39,70,0,0,0,0,491.56
0,40,70,0,0,0,0,500.69
0,41,70,0,0,0,0,509.71
0,42,70,0,0,0,0,518.8
0,43,70,0,0,0,0,527.9
0,44,68,2,0,0,0,537.03
0,45,68,0,0,0,0,545.97
0,46,68,0,0,0,0,554.92
0,47,68,0,0,0,0,563.86
0,48,68,0,0,0,0,572.85
0,49,68,0,0,0,0,581.98
0,50,68,0,0,0,0,590.88
0,51,66,2,0,0,0,599.92
0,52,66,0,0,0,0,608.69
0,53,66,0,0,0,0,617.53
0,54,66,0,0,0,0,626.34
0,55,66,0,0,0,0,635.16
0,56,66,0,0,0,0,644.08
0,57,66,0,0,0,0,652.95
0,58,66,0,0,0,0,661.69
0,59,66,0,0,0,0,670.47
0,60,66,0,0,0,0,679.21
0,61,66,0,0,0,0,687.92
0,62,66,0,0,0,0,696.77
0,63,66,0,0,0,0,706.11
0,64,66,0,0,0,0,714.95
0,65,66,0,0,0,0,723.76
0,66,66,0,0,0,0,732.53
0,67,66,0,0,0,0,741.69
0,68,66,0,0,0,0,750.45
0,69,66,0,0,0,0,759.37
0,70,66,0,0,0,0,768.43
0,71,66,0,0,0,0,777.84
0,72,64,2,0,0,0,787.01
0,73,63,0,0,1,0,795.65
0,74,63,0,0,0,0,804.1
0,75,63,0,0,0,0,812.66
0,76,63,0,0,0,0,821.58
0,77,62,0,0,0,1,830.09
0,78,62,0,0,0,0,838.62
0,79,62,0,0,0,0,847.1
0,80,62,0,0,0,0,855.55
0,81,62,0,0,0,0,864.07
0,82,62,0,0,0,0,872.65
0,83,62,0,0,0,0,881.34
0,84,62,0,0,0,0,889.82
0,85,61,0,0,0,1,898.38
0,86,61,0,0,0,0,906.73
0,87,61,0,0,0,0,915.77
0,88,61,0,0,0,0,924.24
0,89,61,0,0,0,0,932.66
0,90,61,0,0,0,0,941.08
0,91,61,0,0,0,0,949.4
0,92,61,0,0,0,0,957.76
0,93,61,0,0,0,0,966.11
0,94,61,0,0,0,0,974.5
0,95,61,0,0,0,0,983.0
0,96,61,0,0,0,0,991.38
0,97,61,0,0,0,0,999.91
0,98,61,0,0,0,0,1008.25
0,99,61,0,0,0,0,1016.6
0,100,61,0,0,0,0,1024.93
0,101,61,0,0,0,0,1033.38
0,102,61,0,0,0,0,1041.73
0,103,61,0,0,0,0,1050.13
0,104,61,0,0,0,0,1058.61
0,105,61,0,0,0,0,1066.99
0,106,61,0,0,0,0,1075.47
0,107,61,0,0,0,0,1083.89
0,108,61,0,0,0,0,1092.2
0,109,61,0,0,0,0,1100.55
0,110,61,0,0,0,0,1108.92
0,111,61,0,0,0,0,1117.4
0,112,61,0,0,0,0,1125.87
0,113,61,0,0,0,0,1134.27
0,114,61,0,0,0,0,1142.68
0,115,61,0,0,0,0,1151.14
1,0,1496,0,0,0,0,0
1,1,156,1306,1340,1324,1314,127.19
1,2,153,1,3,2,1,146.77
1,3,148,2,4,1,5,165.17
1,4,142,0,6,2,1,184.31
1,5,138,4,0,0,0,202.3
1,6,136,1,2,0,0,219.16
1,7,135,0,0,1,0,236.52
1,8,122,13,0,0,0,253.27
1,9,116,0,0,3,6,268.59
1,10,112,0,1,2,4,284.93
1,11,109,0,1,2,3,299.43
1,12,105,0,1,4,0,316.93
1,13,104,0,1,0,0,330.65
1,14,101,0,3,0,0,343.75
1,15,99,0,1,0,2,356.63
1,16,99,0,0,0,0,369.68
1,17,97,0,1,0,2,382.48
1,18,97,0,0,0,0,396.39
