Hill Climber,Cost,Iteration,Duration
StudentSwapGapHour,1331,1,6.86
StudentSwapGapHour,1334,1,6.86
StudentSwapDoubleClasses,1333,1,6.86
StudentSwapDoubleClasses,1335,1,6.86
StudentSwapGapHour,1325,3,13.44
StudentSwapGapHour,1327,3,13.44
StudentSwapDoubleClasses,1324,3,13.44
StudentSwapDoubleClasses,1321,3,13.44
StudentSwapGapHour,1312,5,17.78
StudentSwapGapHour,1320,5,17.78
StudentSwapDoubleClasses,1327,5,17.78
StudentSwapDoubleClasses,1319,5,17.78
StudentSwapGapHour,1312,7,22.73
StudentSwapGapHour,1307,7,22.73
StudentSwapDoubleClasses,1313,7,22.73
StudentSwapDoubleClasses,1315,7,22.73
StudentSwapGapHour,1306,9,26.84
StudentSwapGapHour,1303,9,26.84
StudentSwapDoubleClasses,1305,9,26.84
StudentSwapDoubleClasses,1306,9,26.84
StudentSwapGapHour,1302,11,30.83
StudentSwapGapHour,1295,11,30.83
StudentSwapDoubleClasses,1303,11,30.83
StudentSwapDoubleClasses,1304,11,30.83
StudentSwapGapHour,1294,13,35.21
StudentSwapGapHour,1294,13,35.21
StudentSwapDoubleClasses,1299,13,35.21
StudentSwapDoubleClasses,1297,13,35.21
StudentSwapGapHour,1290,15,39.14
StudentSwapGapHour,1289,15,39.14
StudentSwapDoubleClasses,1288,15,39.14
StudentSwapDoubleClasses,1288,15,39.14
StudentSwapGapHour,1292,17,43.18
StudentSwapGapHour,1289,17,43.18
StudentSwapDoubleClasses,1285,17,43.18
StudentSwapDoubleClasses,1288,17,43.18
StudentSwapGapHour,1290,19,47.17
StudentSwapGapHour,1286,19,47.17
StudentSwapDoubleClasses,1286,19,47.17
StudentSwapDoubleClasses,1283,19,47.17
StudentSwapGapHour,1285,21,51.11
StudentSwapGapHour,1280,21,51.11
StudentSwapDoubleClasses,1289,21,51.11
StudentSwapDoubleClasses,1288,21,51.11
StudentSwapGapHour,1279,23,55.11
StudentSwapGapHour,1279,23,55.11
StudentSwapDoubleClasses,1278,23,55.11
StudentSwapDoubleClasses,1276,23,55.11
StudentSwapGapHour,1275,25,59.67
StudentSwapGapHour,1273,25,59.67
StudentSwapDoubleClasses,1270,25,59.67
StudentSwapDoubleClasses,1277,25,59.67
StudentSwapGapHour,1273,27,63.69
StudentSwapGapHour,1269,27,63.69
StudentSwapDoubleClasses,1269,27,63.69
StudentSwapDoubleClasses,1274,27,63.69
StudentSwapGapHour,1272,29,68.02
StudentSwapGapHour,1267,29,68.02
StudentSwapDoubleClasses,1268,29,68.02
StudentSwapDoubleClasses,1272,29,68.02
StudentSwapGapHour,1263,31,72.43
StudentSwapGapHour,1265,31,72.43
StudentSwapDoubleClasses,1266,31,72.43
StudentSwapDoubleClasses,1265,31,72.43
StudentSwapGapHour,1264,33,76.87
StudentSwapGapHour,1263,33,76.87
StudentSwapDoubleClasses,1265,33,76.87
StudentSwapDoubleClasses,1266,33,76.87
StudentSwapGapHour,1257,35,80.83
StudentSwapGapHour,1266,35,80.83
StudentSwapDoubleClasses,1259,35,80.83
StudentSwapDoubleClasses,1267,35,80.83
StudentSwapGapHour,1262,37,84.85
StudentSwapGapHour,1260,37,84.85
StudentSwapDoubleClasses,1254,37,84.85
StudentSwapDoubleClasses,1257,37,84.85
StudentSwapGapHour,1255,39,88.78
StudentSwapGapHour,1259,39,88.78
StudentSwapDoubleClasses,1255,39,88.78
StudentSwapDoubleClasses,1259,39,88.78
StudentSwapGapHour,1257,41,92.76
StudentSwapGapHour,1259,41,92.76
StudentSwapDoubleClasses,1260,41,92.76
StudentSwapDoubleClasses,1258,41,92.76
StudentSwapGapHour,1254,43,96.94
StudentSwapGapHour,1254,43,96.94
StudentSwapDoubleClasses,1257,43,96.94
StudentSwapDoubleClasses,1253,43,96.94
StudentSwapGapHour,1258,45,101.0
StudentSwapGapHour,1255,45,101.0
StudentSwapDoubleClasses,1257,45,101.0
StudentSwapDoubleClasses,1254,45,101.0
StudentSwapGapHour,1255,47,105.26
StudentSwapGapHour,1255,47,105.26
StudentSwapDoubleClasses,1254,47,105.26
StudentSwapDoubleClasses,1256,47,105.26
StudentSwapGapHour,1255,49,109.39
StudentSwapGapHour,1258,49,109.39
StudentSwapDoubleClasses,1253,49,109.39
StudentSwapDoubleClasses,1252,49,109.39
StudentSwapGapHour,1250,51,113.48
StudentSwapGapHour,1254,51,113.48
StudentSwapDoubleClasses,1251,51,113.48
StudentSwapDoubleClasses,1254,51,113.48
StudentSwapGapHour,1249,53,117.66
StudentSwapGapHour,1251,53,117.66
StudentSwapDoubleClasses,1251,53,117.66
StudentSwapDoubleClasses,1255,53,117.66
StudentSwapGapHour,1252,55,121.64
StudentSwapGapHour,1249,55,121.64
StudentSwapDoubleClasses,1253,55,121.64
StudentSwapDoubleClasses,1251,55,121.64
StudentSwapGapHour,1252,57,125.73
StudentSwapGapHour,1254,57,125.73
StudentSwapDoubleClasses,1248,57,125.73
StudentSwapDoubleClasses,1250,57,125.73
StudentSwapGapHour,1250,59,129.87
StudentSwapGapHour,1250,59,129.87
StudentSwapDoubleClasses,1250,59,129.87
StudentSwapDoubleClasses,1251,59,129.87
StudentSwapGapHour,1251,61,133.87
StudentSwapGapHour,1248,61,133.87
StudentSwapDoubleClasses,1249,61,133.87
StudentSwapDoubleClasses,1249,61,133.87
StudentSwapGapHour,1252,63,138.08
StudentSwapGapHour,1248,63,138.08
StudentSwapDoubleClasses,1249,63,138.08
StudentSwapDoubleClasses,1249,63,138.08
StudentSwapGapHour,1253,65,142.05
StudentSwapGapHour,1252,65,142.05
StudentSwapDoubleClasses,1250,65,142.05
StudentSwapDoubleClasses,1252,65,142.05
StudentSwapGapHour,1254,67,146.55
StudentSwapGapHour,1251,67,146.55
StudentSwapDoubleClasses,1246,67,146.55
StudentSwapDoubleClasses,1248,67,146.55
StudentSwapGapHour,1245,69,150.83
StudentSwapGapHour,1245,69,150.83
StudentSwapDoubleClasses,1246,69,150.83
StudentSwapDoubleClasses,1250,69,150.83
StudentSwapGapHour,1250,71,154.99
StudentSwapGapHour,1248,71,154.99
StudentSwapDoubleClasses,1246,71,154.99
StudentSwapDoubleClasses,1249,71,154.99
StudentSwapGapHour,1251,73,158.95
StudentSwapGapHour,1250,73,158.95
StudentSwapDoubleClasses,1245,73,158.95
StudentSwapDoubleClasses,1248,73,158.95
StudentSwapGapHour,1243,75,163.02
StudentSwapGapHour,1249,75,163.02
StudentSwapDoubleClasses,1246,75,163.02
StudentSwapDoubleClasses,1245,75,163.02
StudentSwapGapHour,1248,77,167.16
StudentSwapGapHour,1248,77,167.16
StudentSwapDoubleClasses,1243,77,167.16
StudentSwapDoubleClasses,1248,77,167.16
StudentSwapGapHour,1246,79,171.41
StudentSwapGapHour,1247,79,171.41
StudentSwapDoubleClasses,1246,79,171.41
StudentSwapDoubleClasses,1244,79,171.41
StudentSwapGapHour,1240,81,175.31
StudentSwapGapHour,1246,81,175.31
StudentSwapDoubleClasses,1247,81,175.31
StudentSwapDoubleClasses,1242,81,175.31
StudentSwapGapHour,1242,83,179.33
StudentSwapGapHour,1241,83,179.33
StudentSwapDoubleClasses,1243,83,179.33
StudentSwapDoubleClasses,1240,83,179.33
StudentSwapGapHour,1245,85,183.36
StudentSwapGapHour,1247,85,183.36
StudentSwapDoubleClasses,1243,85,183.36
StudentSwapDoubleClasses,1240,85,183.36
StudentSwapGapHour,1242,87,187.37
StudentSwapGapHour,1239,87,187.37
StudentSwapDoubleClasses,1242,87,187.37
StudentSwapDoubleClasses,1242,87,187.37
StudentSwapGapHour,1241,89,192.06
StudentSwapGapHour,1241,89,192.06
StudentSwapDoubleClasses,1240,89,192.06
StudentSwapDoubleClasses,1239,89,192.06
StudentSwapGapHour,1237,91,196.36
StudentSwapGapHour,1244,91,196.36
StudentSwapDoubleClasses,1244,91,196.36
StudentSwapDoubleClasses,1242,91,196.36
StudentSwapGapHour,1239,93,200.42
StudentSwapGapHour,1239,93,200.42
StudentSwapDoubleClasses,1237,93,200.42
StudentSwapDoubleClasses,1237,93,200.42
StudentSwapGapHour,1240,95,204.43
StudentSwapGapHour,1237,95,204.43
StudentSwapDoubleClasses,1237,95,204.43
StudentSwapDoubleClasses,1239,95,204.43
StudentSwapGapHour,1238,97,208.32
StudentSwapGapHour,1242,97,208.32
