Schedule Index,Duration,Cost
0,9.5367431640625e-07,121
0,78.45492696762085,120
1,78.45958018302917,119
2,78.4604651927948,117
3,78.46219205856323,116
0,155.11140394210815,114
1,155.1143479347229,113
2,155.11613988876343,113
3,155.11614990234375,115
0,231.7051088809967,111
1,231.7070918083191,112
2,231.70709919929504,111
3,231.7071008682251,111
0,307.64444303512573,111
1,307.644455909729,110
2,307.6456820964813,111
3,307.64569211006165,112
0,393.758661031723,111
1,393.75867319107056,110
2,393.7586748600006,111
3,393.7586758136749,111
0,490.3891110420227,110
1,490.38914799690247,111
2,490.3891489505768,111
3,490.3891499042511,110
0,577.842503786087,110
1,577.8425168991089,95
2,577.8448460102081,110
3,577.8448560237885,109
0,659.9884049892426,95
1,659.9884150028229,92
2,659.9893140792847,94
3,659.989324092865,107
0,750.416775226593,88
1,750.4179489612579,91
2,750.4179599285126,89
3,750.4179630279541,94
0,842.8411121368408,88
1,842.8411271572113,90
2,842.8411300182343,89
3,842.8411309719086,90
0,938.8201389312744,87
1,938.8229789733887,90
2,938.8229870796204,88
3,938.822988986969,86
0,1035.3932421207428,87
1,1035.3932600021362,87
2,1035.3932621479034,87
3,1035.3932631015778,87
0,1118.7610070705414,86
1,1118.7610211372375,87
2,1118.7610218524933,87
3,1118.7610230445862,86
0,1195.472018957138,86
1,1195.472028017044,86
2,1195.4720289707184,87
3,1195.4720299243927,86
0,1284.1472120285034,85
1,1284.1488699913025,87
2,1284.1488780975342,86
3,1284.1488790512085,86
0,0.0,123
0,78.048837184906,114
1,78.05031204223633,121
2,78.0503191947937,120
3,78.05032134056091,120
0,154.3566689491272,112
1,154.3576362133026,114
2,154.35764408111572,111
3,154.3597812652588,114
0,232.1064372062683,109
1,232.11408615112305,112
2,232.11409997940063,110
3,232.11410403251648,110
0,307.8980312347412,109
1,307.89804315567017,109
2,307.8980450630188,109
3,307.8980460166931,108
0,385.9267683029175,109
1,385.9267792701721,108
2,385.92678022384644,105
3,385.92790818214417,107
0,463.1262159347534,107
1,463.12622904777527,105
2,463.1262300014496,107
3,463.1262311935425,106
0,539.0692141056061,106
1,539.0692250728607,104
2,539.0711870193481,107
3,539.0711941719055,105
0,615.5284872055054,103
1,615.5295612812042,105
2,615.5295722484589,105
3,615.5295741558075,104
0,691.7493770122528,103
1,691.749388217926,104
2,691.7493891716003,104
3,691.7493901252747,104
0,769.3034470081329,103
1,769.3034570217133,104
2,769.3034582138062,103
3,769.3034591674805,103
0,845.4187290668488,102
1,845.4197330474854,99
2,845.4212002754211,101
3,845.4212090969086,102
0,922.130086183548,99
1,922.1301000118256,99
2,922.1301009654999,101
3,922.1301021575928,99
0,998.1091442108154,99
1,998.1091592311859,99
2,998.1091599464417,99
3,998.1091611385345,99
0,1075.0202810764313,98
1,1075.021245956421,98
2,1075.0212543010712,99
3,1075.0212581157684,99
0,1150.8379032611847,98
1,1150.8379120826721,97
2,1150.8388931751251,98
3,1150.8389010429382,98
0,1227.0719981193542,97
1,1227.0720109939575,97
2,1227.0720121860504,97
3,1227.0720131397247,97
0,1.1920928955078125e-06,123
0,75.31293392181396,118
1,75.3160011768341,111
2,75.31792902946472,122
3,75.31793904304504,117
0,151.7677719593048,112
1,151.76778292655945,110
2,151.76883792877197,110
3,151.76884627342224,107
0,228.9217131137848,106
1,228.92268013954163,107
2,228.92268800735474,104
3,228.92439317703247,110
0,304.564982175827,105
1,304.56499099731445,102
2,304.5659830570221,104
3,304.56599402427673,103
0,379.96711111068726,102
1,379.9671239852905,100
2,379.9682152271271,102
3,379.9682240486145,103
0,455.79488706588745,99
1,455.7958941459656,100
2,455.795902967453,100
3,455.7959051132202,101
0,531.7797200679779,100
1,531.7797288894653,97
2,531.7835872173309,99
3,531.7835972309113,99
0,606.8016810417175,96
1,606.8026702404022,96
2,606.8026790618896,96
3,606.8026812076569,98
0,682.2495939731598,95
1,682.2505328655243,95
2,682.2505412101746,94
3,682.2520661354065,93
0,757.1461231708527,94
1,757.1461300849915,94
2,757.1461310386658,93
3,757.1461319923401,93
0,833.1571311950684,92
1,833.1581931114197,93
2,833.1582040786743,93
3,833.1582071781158,93
0,908.3240361213684,92
1,908.3240468502045,92
2,908.3240480422974,92
3,908.3240489959717,92
0,983.5116710662842,91
1,983.5126540660858,91
2,983.5126621723175,90
3,983.5144689083099,92
0,1058.1953701972961,90
1,1058.195382118225,90
2,1058.1953830718994,91
3,1058.1953842639923,90
0,1136.2317399978638,90
1,1136.2317509651184,90
2,1136.2317519187927,90
3,1136.2317531108856,90
0,1211.5178382396698,90
1,1211.5178499221802,90
2,1211.5178520679474,90
3,1211.5178530216217,90
0,9.5367431640625e-07,125
0,76.1608738899231,122
1,76.16286778450012,121
2,76.16451287269592,120
3,76.16667699813843,123
0,153.71987915039062,119
1,153.7208969593048,121
2,153.72091007232666,120
3,153.7209119796753,118
0,232.08737087249756,118
1,232.0873830318451,119
2,232.0873839855194,118
3,232.08738493919373,118
0,326.508593082428,117
1,326.51134514808655,117
2,326.5113570690155,117
3,326.51135897636414,118
0,453.6630959510803,116
1,453.6660509109497,116
2,453.66606187820435,116
3,453.6660649776459,116
0,596.0916788578033,115
1,596.0931491851807,114
2,596.0957107543945,115
3,596.0957269668579,115
0,742.4919309616089,112
1,742.4949870109558,113
2,742.4949989318848,111
3,742.4973909854889,114
0,886.0455751419067,112
1,886.0455961227417,109
2,886.0478167533875,112
3,886.047835111618,111
0,1045.3309359550476,110
1,1045.3309547901154,109
2,1045.3309569358826,109
3,1045.3309578895569,109
0,1156.1442189216614,109
1,1156.144231081009,108
2,1156.1470167636871,109
3,1156.1470251083374,105
0,1234.6639630794525,105
1,1234.6639761924744,105
2,1234.6639771461487,105
3,1234.6639778614044,104
0,9.5367431640625e-07,123
0,76.37555503845215,117
1,76.37790989875793,119
2,76.37791991233826,120
3,76.37792205810547,117
0,153.30257511138916,113
1,153.3084762096405,115
2,153.30848717689514,115
3,153.3084888458252,115
0,229.45883107185364,111
1,229.45996403694153,114
2,229.45997095108032,114
3,229.45997214317322,110
0,306.2935469150543,108
1,306.29544019699097,110
2,306.29544711112976,109
3,306.2954490184784,102
0,384.382276058197,97
1,384.3832130432129,96
2,384.38464093208313,99
3,384.38464999198914,96
0,460.98638010025024,93
1,460.98740911483765,93
2,460.98741698265076,91
3,460.9889600276947,93
0,538.8718659877777,91
1,538.871876001358,91
2,538.8718781471252,91
3,538.8718781471252,90
0,618.3466868400574,90
1,618.3466968536377,90
2,618.3466980457306,89
3,618.3490118980408,90
0,693.780445098877,89
1,693.7804560661316,88
2,693.781653881073,89
3,693.7816638946533,89
0,768.7895321846008,88
1,768.7895431518555,89
2,768.7895441055298,88
3,768.7895448207855,87
0,844.3722648620605,86
1,844.3775091171265,87
2,844.3775179386139,84
3,844.3796951770782,86
0,920.6342010498047,84
1,920.6342198848724,84
2,920.634222984314,84
3,920.6342241764069,84
0,995.9706521034241,84
1,995.9706659317017,84
2,995.970666885376,84
3,995.9706680774689,84
0,1072.2283539772034,83
1,1072.2293429374695,83
2,1072.229352235794,83
3,1072.2293548583984,83
0,1150.020264863968,83
1,1150.0202779769897,83
2,1150.020278930664,83
3,1150.020280122757,83
0,1230.384922027588,82
1,1230.385989189148,84
2,1230.38600897789,83
3,1230.386010169983,83
0,0.0,119
0,87.38653373718262,118
1,87.38829588890076,115
2,87.39004492759705,115
3,87.39005279541016,115
0,164.2422857284546,111
1,164.24318885803223,114
2,164.24320006370544,114
3,164.24320197105408,113
0,240.57525396347046,110
1,240.5763099193573,110
2,240.57632684707642,107
3,240.57783770561218,107
0,316.4826989173889,103
1,316.4837419986725,105
2,316.4837520122528,107
3,316.48375487327576,102
0,395.0595557689667,101
1,395.0619487762451,100
2,395.0636737346649,102
3,395.0636808872223,99
0,472.01253294944763,96
1,472.0135188102722,96
2,472.0135269165039,96
3,472.01352882385254,97
0,549.1057667732239,95
1,549.1066789627075,95
2,549.1066889762878,93
3,549.1082360744476,94
0,626.3591549396515,91
1,626.3603749275208,93
2,626.3603858947754,93
3,626.360387802124,91
0,703.0400218963623,91
1,703.040032863617,90
2,703.040981054306,91
3,703.0409898757935,91
0,781.0171027183533,89
1,781.0195128917694,91
2,781.0195188522339,89
3,781.0195209980011,90
0,856.8482050895691,88
1,856.8491489887238,88
2,856.8491559028625,89
3,856.8491578102112,89
0,933.6044058799744,88
1,933.6044187545776,88
2,933.604419708252,88
3,933.6044209003448,88
0,1010.740003824234,88
1,1010.7400169372559,87
2,1010.7422258853912,88
3,1010.7422337532043,88
0,1087.7721347808838,88
1,1087.77214884758,87
2,1087.7721500396729,88
3,1087.7721529006958,87
0,1164.529783964157,87
1,1164.5297968387604,87
2,1164.5297977924347,87
3,1164.5297989845276,87
0,1240.1720089912415,87
1,1240.1720218658447,87
2,1240.172024011612,87
3,1240.1720247268677,87
